name,current_percent_of_portfolio
"Inozyme Pharma, Inc.",0.00048664199999999997
Keysight Technologies Inc,0.00048584
Qorvo Inc,0.00048523200000000005
Diamond Offshore Drilling Inc,0.000482059
Healthcare Realty Trust Inc,0.00047985
"State Street Corp. (State Street Bank & Trust Co., Boston, MA)",0.00047895800000000003
Constellation Energy Corporation,0.000476913
Centessa Pharmaceuticals PLC,0.00047557299999999997
Kilroy Realty Corp.,0.000472818
Dollar General Corp.,0.00047172800000000003
SL Green Realty Corp.,0.000471004
"Fifth Third Bancorp (1927) (Cincinnati, OH)",0.000470731
"Rockwell Automation, Inc.",0.000470128
"Nkarta, Inc.",0.000469731
Tscan Therapeutics Inc,0.00046905000000000004
Corning Inc.,0.000468499
"Annexon, Inc.",0.00046828500000000003
Sanofi SA,0.000461655
Jacobs Solutions Inc,0.000461439
Ross Stores Inc. (DE),0.00045931399999999995
Metropolitan Bank Holding Corp,0.00045698200000000004
"Shattuck Labs, Inc.",0.000456786
"M&T Bank Corp. (Buffalo, NY) (Manufacturers & Traders Trust)",0.000456156
"Redwood Trust, Inc.",0.00045582699999999996
Capri Holdings Ltd (Michael Kors Holdings),0.000455726
Vinci Partners Investments Ltd,0.00045440599999999997
Flywire Corp,0.00045374
eBay Inc.,0.000453616
Textron Inc.,0.000449641
Verisk Analytics Inc,0.000447913
Spyre Therapeutics Inc.,0.000443944
IDEX Corp.,0.000441104
Corbus Pharmaceuticals Holdings Inc,0.000438985
"PNC Financial Services Group, Inc. (The) (Provident National Trust Co.)",0.00043753899999999997
Cintas Corporation,0.000431793
Molina Healthcare Inc,0.000421874
"Ryman Hospitality Properties, Inc. REIT",0.000420037
Raymond James Financial Inc.,0.00041989699999999997
"Velocity Financial, Inc.",0.000418332
PTC Inc.,0.000416515
Teck Resources Ltd,0.00041459200000000003
"International Flavors and Fragrances, Inc.",0.00041424999999999996
Builders FirstSource Inc,0.00041292
Keurig Dr Pepper Inc,0.000410258
"Iron Mountain, Inc.",0.00040949300000000003
Zebra Technologies Corp,0.00040829900000000004
SPDR Metals & Mining ETF,0.000407305
Intra-Cellular Therapies Inc,0.00040630600000000005
Expedia Group Inc,0.00040550799999999995
Chubb Limited,0.00040227199999999996
RadNet Inc,0.000401244
Syndax Pharmaceuticals Inc,0.000401221
"Alexandria Real Estate Equities, Inc.",0.00039724700000000004
Hasbro Inc.,0.000396762
Nasdaq Inc,0.000396567
Sutro Biopharma Inc,0.00039539999999999996
"WESCO International, Inc",0.000394886
Mammoth Energy Services Inc,0.00039333
Howmet Aerospace Inc. (Aluminum Co. of America - Alcoa - Arconic),0.00039234999999999997
GCM Grosvenor Class A,0.000391079
Dollar Tree Inc.,0.000389855
"AAON, Inc",0.000388893
Targa Resources Inc,0.00038816299999999996
"Veeco Instruments, Inc. (DE)",0.000384078
Insmed Inc,0.000383583
Ralph Lauren Corp. Class A,0.00038263100000000003
Arcellx Inc,0.000381152
AN2 Therapeutics Inc,0.00038071099999999994
AutoZone Inc.,0.000379511
Cboe Global Markets Inc,0.000377567
Liberty Media Corp.,0.00037671499999999996
Cooper Companies (The),0.000375633
American Electric Power Company Inc,0.000374153
Ascendis Pharma A/S ADR,0.000374151
"Huntington Bancshares, Inc. (Huntington National Bank, Columbus, OH)",0.00036913500000000004
First Solar Inc,0.00036890800000000004
NetSTREIT Corp.,0.000368235
Payoneer Global Inc,0.00036797200000000005
MDU Resources Group,0.00036761599999999997
"Hunt (J.B.) Transport Services, Inc.",0.00036590200000000003
Xcel Energy Inc. (Northern States Power Co. (MN)),0.00036532299999999997
Axon Enterprise Inc,0.00036451699999999997
Las Vegas Sands Corp,0.000364041
Ball Corp.,0.00036345299999999996
Enphase Energy Inc,0.000361463
"Steel Dynamics, Inc.",0.00036009
Ironwood Pharmaceuticals Inc,0.00035678300000000006
Coherent Corp,0.000352448
Hologic Inc.,0.00035063700000000005
RLJ Lodging Trust,0.000350576
Air Lease Corp,0.00035050900000000004
Mirum Pharmaceuticals Inc,0.000350163
Northern Trust Corp.,0.00035005599999999996
Park Hotels & Resorts Inc,0.00034719300000000004
Paysafe Limited,0.000346726
Southwest Airlines Co.,0.000345001
Deckers Outdoor Corp,0.000344733
Guild Holdings Co,0.000344679
"Sun Communities, Inc.",0.00034464
McCormick & Co. Non-Voting Shares,0.00034458000000000004
Agilent Technologies Inc,0.000344155
"Church & Dwight Co., Inc.",0.000343373
Omnicom Group Inc.,0.000343149
Ulta Beauty Inc,0.000342183
NRG Energy Inc,0.000340495
Albemarle Corp.,0.00033971800000000003
"Praxis Precision Medicines, Inc.",0.00033950800000000003
