Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
JACOBS SOLUTIONS INC,0.00043975
EXPEDIA GROUP INC,0.00043704
ATMOS ENERGY CORP,0.00043156
HOLOGIC INC,0.00043148
CINCINNATI FINANCIAL CORP,0.00043107
TELEDYNE TECHNOLOGIES INC,0.0004306
WARNER BROS DISCOVERY INC,0.00042841
TYSON FOODS INC CL A,0.00042742
COOPER COS INC/THE,0.00042654
VENTAS INC,0.00042538
AVERY DENNISON CORP,0.00042356
PRINCIPAL FINANCIAL GROUP,0.00042331
SKYWORKS SOLUTIONS INC,0.00042245
NORTHERN TRUST CORP,0.00041642
LABORATORY CRP OF AMER HLDGS,0.0004161
CMS ENERGY CORP,0.00041569
UNITED AIRLINES HOLDINGS INC,0.00041371
SEAGATE TECHNOLOGY HOLDINGS,0.000408
TEXTRON INC,0.00040676
LAS VEGAS SANDS CORP,0.00040616
EXPEDITORS INTL WASH INC,0.00040231
IDEX CORP,0.00040065
NRG ENERGY INC,0.00039913
CITIZENS FINANCIAL GROUP,0.00038648
ESSEX PROPERTY TRUST INC,0.00038415
PACKAGING CORP OF AMERICA,0.0003836
FACTSET RESEARCH SYSTEMS INC,0.00038281
WR BERKLEY CORP,0.00038119
ZEBRA TECHNOLOGIES CORP CL A,0.00038112
KELLANOVA,0.00037942
SOUTHWEST AIRLINES CO,0.00037699
MASCO CORP,0.00037693
QUEST DIAGNOSTICS INC,0.0003769
CELANESE CORP,0.00037456
AKAMAI TECHNOLOGIES INC,0.00037372
EVEREST GROUP LTD,0.00037307
BUNGE GLOBAL SA,0.00037202
CF INDUSTRIES HOLDINGS INC,0.00037052
VERISIGN INC,0.00037041
MID AMERICA APARTMENT COMM,0.00036813
JABIL INC,0.00036687
ENPHASE ENERGY INC,0.00036644
CARNIVAL CORP,0.00036209
TRIMBLE INC,0.00035379
ALBEMARLE CORP,0.0003532
CONAGRA BRANDS INC,0.00034969
SNAP ON INC,0.00034778
BEST BUY CO INC,0.00034495
