Name,Total_investment,UCRP_Amount,GEP_Amount
ROUNDTABLE HEALTHCARE PARTNERS CO-INVESTMENT,70386369,0,70386369
ROUNDTABLE HEALTHCARE PARTNERS CO‐INVESTMENT,70386369,70386369,0
RREEF GLOBAL OPP FD II,559869,559869,0
SAGEHALL PARTNERS FUND I LP,22371758,17897406,4474352
SAGEHALL PARTNERS SEPARATE ACCOUNT,22256395,17805116,4451279
SANKATY CREDIT OPPORTUNITIES IV,1244121,1244121,0
SENIOR CREDIT FUND,40241196,40241196,0
SENTIENT GLOBAL RESOURCES FUND III,8319081,8319081,0
SENTIENT GLOBAL RESOURCES FUND IV,10052309,10052309,0
SEQUOIA CAPITAL CHINA GROWTH V,38511844,0,38511844
SEQUOIA CAPITAL CHINA GROWTH VI,115831217,0,115831217
SEQUOIA CAPITAL CHINA GROWTH VII,3360250,2688200,672050
SEQUOIA CAPITAL CHINA SEED I,1070738,0,1070738
SEQUOIA CAPITAL CHINA SEED II,5341969,0,5341969
SEQUOIA CAPITAL CHINA VENTURE IX,3286713,2629370,657343
SEQUOIA CAPITAL CHINA VENTURE VII,2558130,0,2558130
SEQUOIA CAPITAL CHINA VENTURE VIII,8481691,0,8481691
SEQUOIA CAPITAL FUND,172191306,103573718,68617588
SEQUOIA CAPITAL GGF III CHINA ANNEX,73446885,44178855,29268030
SEQUOIA CAPITAL GGF III US INDIA ANNEX,72822328,43803179,29019149
SEQUOIA CAPITAL GLOBAL GROWTH III,479094224,288178787,190915437
SEQUOIA CAPITAL INDIA GROWTH III,28516308,0,28516308
SEQUOIA CAPITAL INDIA GROWTH IV,1918327,1534662,383665
SEQUOIA CAPITAL INDIA SEED I,1938377,0,1938377
SEQUOIA CAPITAL INDIA SEED II,1963699,0,1963699
SEQUOIA CAPITAL INDIA VENTURE VII,10878736,0,10878736
SEQUOIA CAPITAL INDIA VENTURE VIII,3534182,2827346,706836
SEQUOIA CAPITAL INDIA VI,14550234,0,14550234
SEQUOIA CAPITAL US GROWTH IX,29794066,0,29794066
SEQUOIA CAPITAL US GROWTH VIII,12440722,0,12440722
SEQUOIA CAPITAL US VENTURE XVI,4497464,0,4497464
SEQUOIA CAPITAL US VENTURE XVII,15278505,0,15278505
SEQUOIA CAPITAL US/E SEED IV,2414221,0,2414221
SEQUOIA CAPITALCHINA SEED III,2999774,2399819,599955
SEQUOIA PRIVATE EQUITY,173497512,0,173497512
SEQUOIA SEA I,1519474,1215579,303895
SG GROWTH PARTNERS I,146215,0,146215
SG GROWTH PARTNERS II,10944235,0,10944235
SG GROWTH PARTNERS III,82395575,0,82395575
SG GROWTH PARTNERS IV,171244366,0,171244366
SHAMROCK CAPITAL ADVISORS CO-INVESTMENT,723525,0,723525
SHAMROCK CAPITAL ADVISORS CO‐INVESTMENT,723525,723525,0
SHAMROCK CAPITAL GROWTH FUND III,7559429,7559429,0
SOMA CAPITAL III,2635733,0,2635733
SPDR MSCI,252003532,252003532,0
SSGA S&P 500 EX-TOB AND FF,3659873313,0,3659873313
SSGA S&P 500 EX‐TOB UCRP,6207077778,6207077778,0
STONEPEAK INFRA FD III LP,268540723,268540723,0
STONEPEAK INFRASTRUCTURE FUND III LP,47389539,0,47389539
STONEPEAK INFRASTRUCTURE PARTNERS,130088180,110574953,19513227
"STRIPES CONTINUATION FUND I, LP",14170510,0,14170510
SUN CAPITAL PARTNERS IV,799202,799202,0
SUN CAPITAL PARTNERS V,4823055,4823055,0
SUN CAPITAL PARTNERS VI,23679225,23679225,0
SYCAMORE PARTNERS,23502693,0,23502693
SYCAMORE PARTNERS II,27118777,0,27118777
SYCAMORE PARTNERS III,210872165,127595098,83277067
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT,45045291,0,45045291
SYCAMORE PARTNERS MANAGEMENT CO‐INVESTMENT,45619242,45619242,0
TA REALTY SEPARATE ACCOUNT,116477349,116477349,0
TARPON INVESTMENTS,8749506,8749506,0
THE ENGINE FUND I,43282266,0,43282266
THE ENGINE FUND II,13147266,6573633,6573633
THE HOUSE FUND,3627887,0,3627887
THE HOUSE FUND II,5609956,0,5609956
THE HOUSE FUND III,2559260,1279630,1279630
THE HOUSE FUND OPPORTUNITY III,2886862,1443431,1443431
THE RISE FUND,35413892,0,35413892
THE RISE FUND LP,67179425,67179425,0
THOMA BRAVO CO-INVESTMENT,281116216,0,281116216
THOMA BRAVO CO‐INVESTMENT,730211301,730211301,0
THOMA BRAVO DISCOVER II,105176005,0,105176005
