Name,Investment_Type,Total_investment,UCRP_Amount,GEP_Amount
SEQUOIA CAPITAL CHINA GROWTH VI 1,PRIVATE EQUITY,22885808,0,22885808
SEQUOIA CAPITAL CHINA GROWTH VII,PRIVATE EQUITY,22696890,22696890,0
BROOKFIELD ASSET MANAGEMENT CO-INVESTMENT,REAL ESTATE,22295336,22295336,0
THE ENGINE FUND II,PRIVATE EQUITY,22094598,11047299,11047299
COLUMN GROUP CO-INVESTMENT,PRIVATE EQUITY,21991943,21991943,0
GGV DISCOVERY II,PRIVATE EQUITY,21947357,21947357,0
FALCON CI II,ABSOLUTE RETURN,21617536,13259589,8357947
BLACKSTONE ENERGY TRANSITION PARTNERS IV,REAL ASSETS,20849120,0,20849120
BLUE VISTA STUDENT HOUSING SEPEARTE ACCOUNT,REAL ESTATE,20213573,0,20213573
RED KITE FUND I,PRIVATE CREDIT,20170188,17144660,3025528
STONEPEAK INFRASTRUCTURE FUND III LP,REAL ASSETS,20061914,0,20061914
THE HOUSE FUND III,PRIVATE EQUITY,20019570,10009785,10009785
"NEOTRIBE VENTURES II, L.P.",PRIVATE EQUITY,19779058,0,19779058
CERBERUS REAL ESTATE III,REAL ESTATE,19772618,15818094,3954524
GGV DISCOVERY III,PRIVATE EQUITY,19587348,19587348,0
EQT INFRASTRUCTURE IV,REAL ASSETS,19349425,0,19349425
ENCAP FLATROCK MIDSTREAM FUND III,REAL ASSETS,19258467,16369697,2888770
PRISA LP,REAL ESTATE,18959608,0,18959608
HONGSHAN CHINA EXPANSION I,PRIVATE EQUITY,17845635,17845635,0
WALTON STREET REAL ESTATE FUND VI,REAL ESTATE,17737415,15705003,2032412
SEQUOIA CAPITAL INDIA VI,PRIVATE EQUITY,17640356,0,17640356
BROOKFIELD STRATEGIC REAL ESTATE PARTNERS III 1,REAL ESTATE,17608933,0,17608933
"KHOSLA VENTURES SEED, LP",PRIVATE EQUITY,16622475,16622475,0
H.I.G BAYSIDE LOAN OPP FEEDER V,PRIVATE CREDIT,16411373,16411373,0
"CONGRUENT VENTURES II, LP",REAL ASSETS,16314882,13867650,2447232
PINE BROOK PARTNERS CO-INVESTMENT,REAL ASSETS,15397903,13088218,2309685
ORION RESOURCES FUND I - A,REAL ASSETS,15148067,12875857,2272210
ROUNDTABLE HEALTHCARE CAPITAL PARTNERSHIP III,PRIVATE EQUITY,14974541,14974541,0
BIWA FUND LIMITED,ABSOLUTE RETURN,14834205,9872730,4961475
SEQUOIA CAPITAL INDIA VENTURE VII,PRIVATE EQUITY,13409389,0,13409389
WARBURG PINCUS PRIVATE EQUITY XI,PRIVATE EQUITY,13206922,13206922,0
SEQUOIA CAPITAL US GROWTH VIII,PRIVATE EQUITY,12230568,0,12230568
GGV VII PLUS,PRIVATE EQUITY,12016607,12016607,0
GGV VIII PLUS,PRIVATE EQUITY,11942373,11942373,0
LAV OPPORTUNITIES FUND,PRIVATE EQUITY,10750894,0,10750894
SEQUOIA CAPITAL INDIA GROWTH IV,PRIVATE EQUITY,10659238,10659238,0
VIDA VENTURES II,PRIVATE EQUITY,10251800,5125900,5125900
BLACKSTONE GROUP CO-INVESTMENT 4,PRIVATE EQUITY,9994489,0,9994489
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT 2,PRIVATE EQUITY,9961299,0,9961299
APOLLO INVESTMENT FUND VIII,PRIVATE EQUITY,9794153,9794153,0
ARSENAL CAPITAL PARTNERS GROWTH,PRIVATE EQUITY,9681840,9681840,0
THOMA BRAVO CO-INVESTMENT 2,PRIVATE EQUITY,9494407,0,9494407
FOCUS SENIOR HOUSING FUND I 1,REAL ESTATE,9220722,0,9220722
OWL ROCK TECH HOLDINGS II,PRIVATE CREDIT,9055261,0,9055261
THOMA BRAVO CO-INVESTMENT 4,PRIVATE EQUITY,9006959,0,9006959
SEQUOIA CAPITAL GGF III US INDIA ANNEX 3,PRIVATE EQUITY,8954613,0,8954613
BFAM ASIA OPPORTUNITY FUND,ABSOLUTE RETURN,8792873,5890662,2902211
PEYTO,ABSOLUTE RETURN,8763814,5315876,3447938
SG GROWTH PARTNERS II,PRIVATE EQUITY,8758315,0,8758315
DCP CAPITAL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,8680000,8680000,0
L'ATTITUDE VENTURES II,PRIVATE EQUITY,8673873,0,8673873
BLACKSTONE GROUP CO-INVESTMENT 2,PRIVATE EQUITY,8600515,0,8600515
BREGAL SAGEMOUNT II,PRIVATE EQUITY,8275082,0,8275082
COLLIDE CAPITAL I,PRIVATE EQUITY,8027995,0,8027995
TARPON INVESTMENTS,PUBLIC EQUITY,7662582,7662582,0
SEQUOIA CAPITAL CHINA VENTURE IX,PRIVATE EQUITY,7518224,7518224,0
HIG MIDDLE MARKET LBO FD II,PRIVATE EQUITY,7112985,7112985,0
BLACKSTONE STRATEGIC PARTNERS VIII 4,PRIVATE EQUITY,7075793,0,7075793
ENGINE ACCELERATOR CO-INVESTMENT,PRIVATE EQUITY,6998720,6998720,0
ICONIQ STRATEGIC PARTNERS IV L.P.,PRIVATE EQUITY,6987438,6987438,0
SEQUOIA CAPITAL INDIA VENTURE VIII,PRIVATE EQUITY,6894363,6894363,0
HEALTHCARE INVESTMENT FUND II,PUBLIC EQUITY,6809540,6809540,0
KHOSLA VENTURES SEED B L.P.,PRIVATE EQUITY,6769579,6769579,0
BLACKSTONE CAPITAL PARTNERS IX,PRIVATE EQUITY,6746592,6746592,0
BOW VENTURES CO-INVESTMENT,PRIVATE EQUITY,6658445,6658445,0
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT 2,PRIVATE EQUITY,6634140,0,6634140
ARSENAL CAPITAL PARTNERS CO-INVESTMENT 2,PRIVATE EQUITY,6461967,0,6461967
THE HOUSE FUND II,PRIVATE EQUITY,6285859,0,6285859
H.I.G. EUROPE CAPITAL PARTNERS II,PRIVATE EQUITY,6141619,6141619,0
KSL CAPITAL PARTNERS III,REAL ESTATE,6010925,5109286,901639
CIM REAL ESTATE FUND III,REAL ESTATE,5736725,5088475,648250
MISSION BAY CAPITAL II,PRIVATE EQUITY,5320391,0,5320391
SEQUOIA CAPITALCHINA SEED III,PRIVATE EQUITY,5297291,5297291,0
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT 1,PRIVATE EQUITY,5282770,0,5282770
THE HOUSE FUND OPPORTUNITY III,PRIVATE EQUITY,5258399,5258399,0
MADISON DEARBORN CAPITAL PARTNERS CO-INVESTMENT 9,PRIVATE EQUITY,5211847,0,5211847
BLUE VISTA STUDENT HOUSING SELECT STRATEGIES FUND 2,REAL ESTATE,5159839,0,5159839
WESTBROOK REAL ESTATE FUND IX,REAL ESTATE,5127342,4101874,1025468
BLACKSTONE REAL ESTATE PARTNERS VII,REAL ESTATE,5125259,4100207,1025052
APOLLO MANAGEMENT CO-INVESTMENT 7,PRIVATE EQUITY,5000000,0,5000000
COLUMN GROUP CO-INVESTMENT 3,PRIVATE EQUITY,4891388,0,4891388
BLACKSTONE GROUP CO-INVESTMENT 1,PRIVATE EQUITY,4850938,0,4850938
BLACKSTONE GROUP CO-INVESTMENT 7,PRIVATE EQUITY,4751359,0,4751359
SEQUOIA SEA I,PRIVATE EQUITY,4520891,3616713,904178
BREGAL SAGEMOUNT CO-INVESTMENT,PRIVATE EQUITY,4405122,4405122,0
THOMA BRAVO CO-INVESTMENT 1,PRIVATE EQUITY,4269908,0,4269908
"ZEI ES CO INVEST C, L.P.",ABSOLUTE RETURN,4209641,4209641,0
SOMA CAPITAL III,PRIVATE EQUITY,3684157,0,3684157
"BLACKSTONE PROPERTY PARTNERS US, LP 7",REAL ESTATE,3611406,0,3611406
SEQUOIA CAPITAL US/E SEED IV,PRIVATE EQUITY,3558022,0,3558022
H.I.G. CAPITAL PARTNERS V,PRIVATE EQUITY,3448926,3448926,0
BOW CAPITAL CO-INVESTMENT,PRIVATE EQUITY,3329223,0,3329223
WESTBROOK REAL ESTATE FUND VIII,REAL ESTATE,3270246,1606207,1664039
BAIN CAPITAL CREDIT MANAGED ACCOUNT,PRIVATE CREDIT,2997933,2997933,0
ARSENAL CAPITAL PARTNERS CO-INVESTMENT 1,PRIVATE EQUITY,2946143,0,2946143
WESTBROOK REAL ESTATE FUND VII,REAL ESTATE,2908330,2617497,290833
HOF MANAGEMENT CO,PRIVATE CREDIT,2815768,2248702,567066
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT 1,PRIVATE EQUITY,2814085,0,2814085
ZEI ES CO INVEST,ABSOLUTE RETURN,2653805,0,2653805
ENGINE FUND III,PRIVATE EQUITY,2514462,1257231,1257231
CLEARLAKE CO-INVESTMENT 1,PRIVATE EQUITY,2473402,0,2473402
THE HOUSE FUND,PRIVATE EQUITY,2330403,0,2330403
BLACKSTONE REAL ESTATE PARTNERS ASIA II 4,REAL ESTATE,2313207,0,2313207
BROOKFIELD ASSET MANAGEMENT CO-INVESTMENT 2,REAL ESTATE,2295336,0,2295336
ENERGY & MINERALS GROUP CO-INVESTMENT,REAL ASSETS,1695792,0,1695792
GGV IV,PRIVATE EQUITY,1626799,1626799,0
H.I.G. BAYSIDE II,PRIVATE EQUITY,1523930,1523930,0
TSG CONSUMER PARTNERS CO-INVESTMENT 5,PRIVATE EQUITY,1452918,0,1452918
COLLIDE CAPITAL II,PRIVATE EQUITY,1396606,0,1396606
PONTIFAX AGTECH,REAL ASSETS,1386265,0,1386265
WALTON STREET REAL ESTATE FUND V,REAL ESTATE,1343601,1343601,0
H.I.G. MIDDLE MARKET LBO FUND III 3,PRIVATE EQUITY,1281791,0,1281791
CD CAPITAL FUND II,REAL ASSETS,1156996,0,1156996
ROCKPOINT REAL ESTATE FUND III,REAL ESTATE,1031811,928630,103181
APOLLO INVESTMENT FUND VI,PRIVATE EQUITY,852435,852435,0
ROCKPOINT REAL ESTATE FUND IV,REAL ESTATE,769957,615966,153991
SANKATY CREDIT OPPORTUNITIES IV,PRIVATE CREDIT,759758,759758,0
APOLLO EUROPEAN PRINCIPAL FINANCE FUND II,PRIVATE CREDIT,647290,647290,0
"CONGRUENT VENTURES III, LP",PRIVATE EQUITY,625547,625547,0
RREEF GLOBAL OPP FD II,REAL ESTATE,581291,581291,0
METROPOLITAN WORKFORCE HOUSING FUND,REAL ESTATE,577860,520074,57786
ENCAP FLATROCK MIDSTREAM CO-INVESTMENT,REAL ASSETS,426784,362766,64018
H.I.G. CAPITAL PARTNERS IV,PRIVATE EQUITY,385691,385691,0
FOUNDATION ENERGY FUND IV,REAL ASSETS,292204,248373,43831
HOMEWARD OPP FUND I LP,PRIVATE CREDIT,269324,269324,0
CONGRUENT VENTURES III,PRIVATE EQUITY,268091,0,268091
ORBIMED ROYALTIES FUND I,REAL ASSETS,257909,219223,38686
UC VENTURES CO-INVESTMENT 9,PRIVATE EQUITY,199981,0,199981
LIME ROCK PARTNERS VI,PRIVATE EQUITY,156644,156644,0
"BLACKSTONE CAPITAL PARTNERS V, L.P.",PRIVATE EQUITY,143674,143674,0
APOLLO INFRA EQUITY 2,REAL ASSETS,95480,0,95480
ORION RESOURCES FUND I 9,REAL ASSETS,82222,0,82222
PINE BROOK PARTNERS CO-INVESTMENT 3,REAL ASSETS,78214,0,78214
EQT INFRASTRUCTURE II 2,REAL ASSETS,59079,0,59079
APOLLO MANAGEMENT CO-INVESTMENT 1,PRIVATE EQUITY,55672,0,55672
ENCAP FLATROCK MIDSTREAM FUND II 3,REAL ASSETS,53752,0,53752
BLACKSTONE FUND V,REAL ESTATE,51624,0,51624
FOUNTAINVEST CHINA GROWTH CAPITAL FUND,PRIVATE EQUITY,40610,40610,0
