Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
HEWLETT PACKARD ENTERPRISE C,0.0003240
NOVA LTD,0.0003230
DOLLAR GEN CORP NEW,0.0003189
SOUTHSTATE BK CORP,0.0003188
ARBUTUS BIOPHARMA CORP,0.0003159
EDISON INTL,0.0003156
CONFLUENT INC,0.0003143
RELMADA THERAPEUTICS INC,0.0003121
CROWN HLDGS INC,0.0003117
PENTAIR PLC,0.0003116
LXP INDUSTRIAL TRUST,0.0003114
MIDDLEBY CORP,0.0003105
TALON CAP CORP,0.0003098
FIVE STAR BANCORP,0.0003086
PROTAGONIST THERAPEUTICS INC,0.0003078
VIKING HOLDINGS LTD,0.0003069
STARWOOD PPTY TR INC,0.0003066
LENNAR CORP,0.0003031
RALPH LAUREN CORP,0.0003025
IQVIA HLDGS INC,0.0003018
ALLY FINL INC,0.0003016
KYNDRYL HLDGS INC,0.0003015
PAYCHEX INC,0.0003013
NATIONAL HEALTH INVS INC,0.0003005
UNION PAC CORP,0.0002952
PULTE GROUP INC,0.0002946
LUMEXA IMAGING HOLDINGS INC,0.0002931
CABALETTA BIO INC,0.0002927
SOUTHWEST AIRLS CO,0.0002920
FULCRUM THERAPEUTICS INC,0.0002910
TOPBUILD CORP,0.0002904
THIRD COAST BANCSHARES INC,0.0002900
AVALONBAY CMNTYS INC,0.0002895
CUBESMART,0.0002892
STELLANTIS N.V,0.0002884
CORPAY INC,0.0002876
WHEATON PRECIOUS METALS CORP,0.0002846
ATKORE INC,0.0002843
FRESHPET INC,0.0002840
BP PLC,0.0002838
HERSHEY CO,0.0002831
EVOLUTION GLOBAL ACQUISITION,0.0002823
GOLAR LNG LTD,0.0002816
TRACTOR SUPPLY CO,0.0002816
ELANCO ANIMAL HEALTH INC,0.0002792
EXPEDIA GROUP INC,0.0002791
VERISIGN INC,0.0002770
BANK OF NT BUTTERFIELD&SON L,0.0002765
SMURFIT WESTROCK PLC,0.0002759
BROADRIDGE FINL SOLUTIONS IN,0.0002749
SAFEGUARD ACQUISITION CORP,0.0002747
COMERICA INC,0.0002745
APOGEE THERAPEUTICS INC,0.0002742
DAEDALUS SPL ACQUISITION COR,0.0002735
STIFEL FINL CORP,0.0002729
EXPEDITORS INTL WASH INC,0.0002729
GENERAL PURP ACQUISITION COR,0.0002727
RAYMOND JAMES FINL INC,0.0002726
HIGHVIEW MERGER CORP,0.0002724
OTG ACQUISITION CORP. I,0.0002724
ACTIVATE ENERGY ACQUISITION,0.0002723
SILA REALTY TRUST INC,0.0002722
HUNTINGTON BANCSHARES INC,0.0002718
LAS VEGAS SANDS CORP,0.0002706
WEST PHARMACEUTICAL SVSC INC,0.0002703
VIKING ACQUISITION CORP I,0.0002697
DOXIMITY INC,0.0002681
KNIGHT-SWIFT TRANSN HLDGS IN,0.0002670
TYLER TECHNOLOGIES INC,0.0002666
SILVERBOX CORP V,0.0002664
SELECT MED HLDGS CORP,0.0002664
REPLIMUNE GROUP INC,0.0002659
CONSTELLATION BRANDS INC,0.0002657
BRIDGEBIO ONCOLOGY THERAPEUT,0.0002653
ZYMEWORKS INC,0.0002644
AMCOR PLC,0.0002630
KEYCORP,0.0002623
IAMGOLD CORP,0.0002620
NORTHERN TR CORP,0.0002598
UNITED AIRLS HLDGS INC,0.0002578
SUNSTONE HOTEL INVS INC NEW,0.0002571
DIGITALBRIDGE GROUP INC,0.0002554
UDR INC,0.0002537
NETAPP INC,0.0002515
MOELIS & CO,0.0002496
GARTNER INC,0.0002486
HORIZON BANCORP INC,0.0002473
HALL CHADWICK ACQUISITION CO,0.0002457
GEO GROUP INC NEW,0.0002440
KOSMOS ENERGY LTD,0.0002418
PATRIA INVESTMENTS LIMITED,0.0002405
HUNTINGTON INGALLS INDS INC,0.0002400
FORTIVE CORP,0.0002396
VINE HILL CAP INVTS CORP II,0.0002389
GLOBAL PMTS INC,0.0002386
KRAFT HEINZ CO,0.0002376
HAMILTON LANE INC,0.0002373
KYVERNA THERAPEUTICS INC,0.0002371
INTERNATIONAL FLAVORS&FRAGRA,0.0002358
DYNAMIX CORP III,0.0002357
MCCORMICK & CO INC,0.0002357
GENUINE PARTS CO,0.0002337
MIND MEDICINE MINDMED INC,0.0002330
RICE ACQUISITION CORP 3,0.0002327
WABTEC,0.0002313
NOBLE CORP PLC,0.0002287
THE TRADE DESK INC,0.0002284
BAKER HUGHES COMPANY,0.0002281
LOEWS CORP,0.0002279
EQV VENTURES AC CORP. II,0.0002277
DOW INC,0.0002271
CARDINAL INFRASTRUCTURE GROU,0.0002269
TYSON FOODS INC,0.0002267
EASTGROUP PPTYS INC,0.0002254
LAUDER ESTEE COS INC,0.0002250
COOPER COS INC,0.0002226
PINNACLE WEST CAP CORP,0.0002215
OLD NATL BANCORP IND,0.0002212
WINTRUST FINL CORP,0.0002205
MERIT MED SYS INC,0.0002201
HERON THERAPEUTICS INC,0.0002201
ZURA BIO LTD,0.0002181
JACOBS SOLUTIONS INC,0.0002164
LPL FINL HLDGS INC,0.0002162
KIMBELL RTY PARTNERS LP,0.0002155
BIOAGE LABS INC,0.0002102
NOVARTIS AG,0.0002090
MADRIGAL PHARMACEUTICALS INC,0.0002047
RPM INTL INC,0.0002046
NEW GOLD INC CDA,0.0002043
GALATA ACQUISITION CORP II,0.0002035
SYSCO CORP,0.0002033
TWELVE SEAS INVT CO III,0.0002033
QNITY ELECTRONICS INC,0.0002028
DUPONT DE NEMOURS INC,0.0002027
INSIGHT DIGITAL PARTNERS II,0.0002025
CAMP4 THERAPEUTICS CORP,0.0002024
DIME CMNTY BANCSHARES INC,0.0002016
F5 INC,0.0002013
TAILWIND 2.0 ACQUISITION COR,0.0002012
