iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SAN","BANCO SANTANDER SA","Financials","Equity","52,654,858.86","0.19","52,654,858.86","4,644,862.00","11.34","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","50,943,247.62","0.18","50,943,247.62","169,709.00","300.18","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","50,697,822.04","0.18","50,697,822.04","243,482.00","208.22","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","50,202,240.96","0.18","50,202,240.96","1,772,678.00","28.32","United States","NYSE","USD","1.00","USD","-"
"TD","TORONTO DOMINION","Financials","Equity","50,007,000.39","0.18","50,007,000.39","525,449.00","95.17","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","49,937,460.48","0.18","49,937,460.48","110,464.00","452.07","United States","NASDAQ","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","49,789,739.62","0.18","49,789,739.62","117,163.00","424.96","Germany","Xetra","USD","0.87","EUR","-"
"COP","CONOCOPHILLIPS","Energy","Equity","49,369,973.12","0.17","49,369,973.12","378,256.00","130.52","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","49,246,784.99","0.17","49,246,784.99","525,187.00","93.77","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","48,696,320.00","0.17","48,696,320.00","380,440.00","128.00","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","48,178,530.62","0.17","48,178,530.62","151,343.00","318.34","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","46,276,145.51","0.16","46,276,145.51","80,381.00","575.71","United States","NYSE","USD","1.00","USD","-"
"IBE","IBERDROLA SA","Utilities","Equity","45,848,256.46","0.16","45,848,256.46","1,949,510.00","23.52","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","45,822,967.22","0.16","45,822,967.22","167,987.00","272.78","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","44,913,583.98","0.16","44,913,583.98","183,538.00","244.71","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","44,785,427.70","0.16","44,785,427.70","195,186.00","229.45","United States","NASDAQ","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","44,728,975.21","0.16","44,728,975.21","378,408.00","118.20","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BLK","BLACKROCK INC","Financials","Equity","44,594,178.72","0.16","44,594,178.72","46,137.00","966.56","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","44,312,708.00","0.16","44,312,708.00","616,825.00","71.84","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","43,473,190.10","0.15","43,473,190.10","120,391.00","361.10","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","43,338,074.35","0.15","43,338,074.35","214,195.00","202.33","United States","NYSE","USD","1.00","USD","-"
"6501","HITACHI LTD","Industrials","Equity","42,286,653.28","0.15","42,286,653.28","1,441,500.00","29.34","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","42,157,457.16","0.15","42,157,457.16","332,787.00","126.68","United States","NYSE","USD","1.00","USD","-"
"MC","LVMH","Consumer Discretionary","Equity","42,012,354.23","0.15","42,012,354.23","77,213.00","544.11","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","41,892,768.28","0.15","41,892,768.28","9,988.00","4,194.31","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","41,863,654.00","0.15","41,863,654.00","330,155.00","126.80","United States","NASDAQ","USD","1.00","USD","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","41,706,551.62","0.15","41,706,551.62","241,192.00","172.92","Germany","Xetra","USD","0.87","EUR","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","41,648,331.36","0.15","41,648,331.36","96,596.00","431.16","United States","NYSE","USD","1.00","USD","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","40,881,998.83","0.14","40,881,998.83","2,597,152.00","15.74","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","40,766,267.38","0.14","40,766,267.38","249,778.00","163.21","United States","NASDAQ","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","40,569,547.87","0.14","40,569,547.87","1,141,440.00","35.54","Germany","Xetra","USD","0.87","EUR","-"
"ABBN","ABB LTD","Industrials","Equity","40,468,257.89","0.14","40,468,257.89","491,071.00","82.41","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","40,470,139.78","0.14","40,470,139.78","64,982.00","622.79","United States","NYSE","USD","1.00","USD","-"
