"Name","Description","Sources / Links","Parent Company","Country"
"Ontario Power Generation Employees' And Pensioners' Charity Trust Fund","Donates to the International Fellowship of Christians and Jews (IFCJ). The IFCJ, a registered Canadian charity, provides funds to Israeli organizations involved in activities that appear to contravene international law and Canadian policy. It has sent approximately $23M in the last 5 years to KEREN L'YEDIDUT (Israel) , an organization that provides significant support to IDF soldiers and is focused on second coming/Armageddon theology that considers Jewish people as the chosen people.","https://bdscoalition.ca/","",""
"Ontario Teachers' Pension Plan","According to its US SEC filing, the Ontario Teachers' Pension Plan (OTPP) had $14,708,522 USD invested in four companies on the UN database, and $628,508,625 USD invested in more than a dozen companies identified by AFSC Investigate and World Beyond War as complicit in occupation and/or in arming Israel. In total, this represents an investment of over $643.2 million USD.","https://www.justpeaceadvocates.ca/pensions/ , https://www.justpeaceadvocates.ca/otpp-investments-in-companies-that-are-complicit-with-international-law-violations/","",""
"OOHA Water","Water. Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.","https://www.foa.org.uk/campaign/boycottcocacola","Coca-Cola",""
"Opal Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Open For Life Ministries Canada","Donates to the International Fellowship of Christians and Jews (IFCJ). The IFCJ, a registered Canadian charity, provides funds to Israeli organizations involved in activities that appear to contravene international law and Canadian policy. It has sent approximately $23M in the last 5 years to KEREN L'YEDIDUT (Israel) , an organization that provides significant support to IDF soldiers and is focused on second coming/Armageddon theology that considers Jewish people as the chosen people.","https://bdscoalition.ca/","",""
"Opentable","Online Booking. Booking.com, whose parent company Booking Holdings owns Opentable, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.","https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy","Booking Holdings",""
"Operator Collective","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Operator Partners","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Operator Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Opodo Ltd.","Involved in activities in violation of UN Human Rights Council resolution 31/36. Through the company's three brands eDreams, Opodo and Travellink, the company promotes properties located in illegal settlements across the occupied West Bank, East Jerusalem and Syrian Golan. The company includes five travel brands: eDreams, GOVoyages, Opodo, Travellink and Liligo. The company is included in the UN database.","https://investigate.afsc.org/company/edreams-odigeo , https://www.whoprofits.org/companies/company/7286?edreams-odigeo","",""
