Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Diamondback Energy Inc.,0.00076591
Xylem Inc.,0.00076262
Public Service Enterprise Group Inc,0.00076022
Monolithic Power Systems Inc.,0.00075968
Halliburton Company,0.000754
Dollar Tree Inc.,0.00074747
Dollar General Corporation,0.00074345
Keurig Dr Pepper Inc.,0.00073399
Fortive Corp.,0.00073171
ANSYS Inc.,0.00071501
Fair Isaac Corporation,0.00071457
Consolidated Edison Inc.,0.0007037
Charter Communications Inc. Class A,0.00070292
Moderna Inc.,0.00070069
VICI Properties Inc,0.00070031
Willis Towers Watson Public Limited Company,0.00069565
Baker Hughes Company Class A,0.00069094
Xcel Energy Inc.,0.00068651
Kraft Heinz Company,0.00068119
Hartford Financial Services Group Inc.,0.00067862
Tractor Supply Company,0.0006776
Discover Financial Services,0.00067722
Hershey Company,0.0006749
Ulta Beauty Inc.,0.00067483
CBRE Group Inc. Class A,0.0006727
DuPont de Nemours Inc.,0.00067169
Cardinal Health Inc.,0.00066712
Devon Energy Corporation,0.00066586
Extra Space Storage Inc.,0.00066374
Archer-Daniels-Midland Company,0.00065601
West Pharmaceutical Services Inc.,0.00064779
Keysight Technologies Inc,0.00064184
Edison International,0.00063574
Royal Caribbean Group,0.00063335
Zimmer Biomet Holdings Inc.,0.00063215
Delta Air Lines Inc.,0.00062879
ResMed Inc.,0.00062182
LyondellBasell Industries NV,0.00060814
WEC Energy Group Inc,0.00060562
Mettler-Toledo International Inc.,0.00060531
