Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
FIDELITY NATIONAL FINANCIAL,0.00024714
BOOKING HOLDINGS INC,0.00024599
BOEING CO/THE,0.00024463
IQVIA HOLDINGS INC,0.00024103
ROSS STORES INC,0.00024099
BALL CORP,0.00023949
QUANTA SERVICES INC,0.00023848
FOX CORP  CLASS B,0.00023436
MARKETAXESS HOLDINGS INC,0.00023212
OWENS CORNING,0.0002302
HALLIBURTON CO,0.00022851
AMETEK INC,0.00022455
UNIVERSAL HEALTH SERVICES B,0.00022422
MARVELL TECHNOLOGY INC,0.00022226
LEIDOS HOLDINGS INC,0.00022024
INGERSOLL RAND INC,0.00021992
EQUITABLE HOLDINGS INC,0.00021802
LIBERTY GLOBAL LTD C,0.00021653
BORGWARNER INC,0.00021624
COINBASE GLOBAL INC CLASS A,0.00021601
EQUITY RESIDENTIAL,0.00021459
MARTIN MARIETTA MATERIALS,0.00021232
TEXTRON INC,0.00021171
AES CORP,0.0002113
DOVER CORP,0.0002102
JACOBS SOLUTIONS INC,0.00021007
EBAY INC,0.00020888
APTIV PLC,0.00020824
CROWN CASTLE INC,0.00020794
ON SEMICONDUCTOR,0.00020693
CNH INDUSTRIAL NV,0.00020688
WILLIAMS SONOMA INC,0.00020682
FIRST CITIZENS BCSHS  CL A,0.00020641
CARLYLE GROUP INC/THE,0.00020478
XYLEM INC,0.00020289
MOLSON COORS BEVERAGE CO  B,0.00020184
AVALONBAY COMMUNITIES INC,0.00020099
EASTMAN CHEMICAL CO,0.00020043
PAYLOCITY HOLDING CORP,0.00019992
MOODY S CORP,0.00019932
UBER TECHNOLOGIES INC,0.00019699
EXTRA SPACE STORAGE INC,0.00019404
LKQ CORP,0.00019277
FORTIVE CORP,0.0001926
LEAR CORP,0.0001923
BATH + BODY WORKS INC,0.00019144
REVVITY INC,0.00019085
ALBEMARLE CORP,0.00019049
CONSTELLATION BRANDS INC A,0.00019028
VULCAN MATERIALS CO,0.00019005
CENTERPOINT ENERGY INC,0.00018807
EQT CORP,0.00018678
ALIGN TECHNOLOGY INC,0.00018279
COOPER COS INC/THE,0.0001778
