Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
HEWLETT PACKARD ENTERPRISE,0.052957
CORPAY INC,0.052834
EQUITY RESIDENTIAL,0.052716
SBA COMMUNICATIONS CORP,0.052688
AXON ENTERPRISE INC,0.052574
GARMIN LTD,0.052254
INTL FLAVORS + FRAGRANCES,0.052125
PTC INC,0.051929
NETAPP INC,0.051173
VERALTO CORP,0.050104
EVERSOURCE ENERGY,0.050036
STEEL DYNAMICS INC,0.0493
STERIS PLC,0.049185
BAXTER INTERNATIONAL INC,0.048793
APTIV PLC,0.048463
ULTA BEAUTY INC,0.048315
PPL CORP,0.048284
FIRSTENERGY CORP,0.048143
MOLINA HEALTHCARE INC,0.04813
INVITATION HOMES INC,0.047642
FIRST SOLAR INC,0.047405
BROWN + BROWN INC,0.047183
HUNTINGTON BANCSHARES INC,0.047175
ILLUMINA INC,0.046858
ALEXANDRIA REAL ESTATE EQUIT,0.045908
AMEREN CORPORATION,0.04587
MCCORMICK + CO NON VTG SHRS,0.045644
OMNICOM GROUP,0.045557
TYLER TECHNOLOGIES INC,0.04551
CBOE GLOBAL MARKETS INC,0.045132
DOMINO S PIZZA INC,0.044881
WATERS CORP,0.044787
DARDEN RESTAURANTS INC,0.044561
REGIONS FINANCIAL CORP,0.044553
LEIDOS HOLDINGS INC,0.044461
SYNCHRONY FINANCIAL,0.044262
CENTERPOINT ENERGY INC,0.044169
CLOROX COMPANY,0.04411
TERADYNE INC,0.043999
JACOBS SOLUTIONS INC,0.043975
EXPEDIA GROUP INC,0.043704
ATMOS ENERGY CORP,0.043156
HOLOGIC INC,0.043148
CINCINNATI FINANCIAL CORP,0.043107
TELEDYNE TECHNOLOGIES INC,0.04306
WARNER BROS DISCOVERY INC,0.042841
TYSON FOODS INC CL A,0.042742
COOPER COS INC/THE,0.042654
VENTAS INC,0.042538
AVERY DENNISON CORP,0.042356
PRINCIPAL FINANCIAL GROUP,0.042331
SKYWORKS SOLUTIONS INC,0.042245
NORTHERN TRUST CORP,0.041642
LABORATORY CRP OF AMER HLDGS,0.04161
CMS ENERGY CORP,0.041569
UNITED AIRLINES HOLDINGS INC,0.041371
SEAGATE TECHNOLOGY HOLDINGS,0.0408
TEXTRON INC,0.040676
LAS VEGAS SANDS CORP,0.040616
EXPEDITORS INTL WASH INC,0.040231
IDEX CORP,0.040065
NRG ENERGY INC,0.039913
CITIZENS FINANCIAL GROUP,0.038648
ESSEX PROPERTY TRUST INC,0.038415
PACKAGING CORP OF AMERICA,0.03836
FACTSET RESEARCH SYSTEMS INC,0.038281
WR BERKLEY CORP,0.038119
ZEBRA TECHNOLOGIES CORP CL A,0.038112
KELLANOVA,0.037942
SOUTHWEST AIRLINES CO,0.037699
MASCO CORP,0.037693
QUEST DIAGNOSTICS INC,0.03769
CELANESE CORP,0.037456
AKAMAI TECHNOLOGIES INC,0.037372
EVEREST GROUP LTD,0.037307
BUNGE GLOBAL SA,0.037202
CF INDUSTRIES HOLDINGS INC,0.037052
VERISIGN INC,0.037041
MID AMERICA APARTMENT COMM,0.036813
JABIL INC,0.036687
ENPHASE ENERGY INC,0.036644
CARNIVAL CORP,0.036209
TRIMBLE INC,0.035379
ALBEMARLE CORP,0.03532
CONAGRA BRANDS INC,0.034969
SNAP ON INC,0.034778
BEST BUY CO INC,0.034495
POOL CORP,0.034283
NORDSON CORP,0.033949
VIATRIS INC,0.03361
LOEWS CORP,0.033481
KEYCORP,0.032986
EPAM SYSTEMS INC,0.032957
STANLEY BLACK + DECKER INC,0.032486
HEALTHPEAK PROPERTIES INC,0.032211
HUNT (JB) TRANSPRT SVCS INC,0.032063
HOST HOTELS + RESORTS INC,0.031922
PENTAIR PLC,0.03172
REVVITY INC,0.031417
AMCOR PLC,0.0314
WALGREENS BOOTS ALLIANCE INC,0.030536
LIVE NATION ENTERTAINMENT IN,0.030493
WESTROCK CO,0.03039
ROLLINS INC,0.030135
INTERNATIONAL PAPER CO,0.030129
KIMCO REALTY CORP,0.030013
INTERPUBLIC GROUP OF COS INC,0.029251
ALLIANT ENERGY CORP,0.02924
JM SMUCKER CO/THE,0.029183
JACK HENRY + ASSOCIATES INC,0.028993
LKQ CORP,0.028916
MOLSON COORS BEVERAGE CO  B,0.02875
LAMB WESTON HOLDINGS INC,0.028701
CHARLES RIVER LABORATORIES,0.028677
EVERGY INC,0.028544
INSULET CORP,0.02839
GEN DIGITAL INC,0.028363
MGM RESORTS INTERNATIONAL,0.027994
EASTMAN CHEMICAL CO,0.027919
AES CORP,0.027883
QORVO INC,0.027793
UDR INC,0.027547
JUNIPER NETWORKS INC,0.02743
NISOURCE INC,0.027016
CARMAX INC,0.026863
HUNTINGTON INGALLS INDUSTRIE,0.02633
ALLEGION PLC,0.026298
F5 INC,0.026017
CAMDEN PROPERTY TRUST,0.025206
BATH + BODY WORKS INC,0.025168
SMITH (A.O.) CORP,0.024982
UNIVERSAL HEALTH SERVICES B,0.024757
HORMEL FOODS CORP,0.024458
MOSAIC CO/THE,0.024197
US DOLLAR,0.024183
CATALENT INC,0.02415
INCYTE CORP,0.023641
BIO TECHNE CORP,0.023607
TELEFLEX INC,0.023212
HENRY SCHEIN INC,0.022765
DAYFORCE INC,0.022681
TAPESTRY INC,0.02255
PAYCOM SOFTWARE INC,0.022536
NEWS CORP  CLASS A,0.022372
ASSURANT INC,0.022272
REGENCY CENTERS CORP,0.022207
WYNN RESORTS LTD,0.022173
SOLVENTUM CORP,0.021817
CAMPBELL SOUP CO,0.021505
AMERICAN AIRLINES GROUP INC,0.021217
MATCH GROUP INC,0.0209
BOSTON PROPERTIES INC,0.02083
BROWN FORMAN CORP CLASS B,0.02082
GENERAC HOLDINGS INC,0.020464
C.H. ROBINSON WORLDWIDE INC,0.020201
PINNACLE WEST CAPITAL,0.020045
ETSY INC,0.019797
NORWEGIAN CRUISE LINE HOLDIN,0.019613
HASBRO INC,0.019433
BORGWARNER INC,0.019
CAESARS ENTERTAINMENT INC,0.018869
FOX CORP  CLASS A,0.018648
FMC CORP,0.018584
MARKETAXESS HOLDINGS INC,0.018389
DAVITA INC,0.018135
ROBERT HALF INC,0.0181
FEDERAL REALTY INVS TRUST,0.017954
GLOBE LIFE INC,0.016228
COMERICA INC,0.01618
RALPH LAUREN CORP,0.015749
FRANKLIN RESOURCES INC,0.015737
INVESCO LTD,0.015666
MOHAWK INDUSTRIES INC,0.015031
PARAMOUNT GLOBAL CLASS B,0.014695
BIO RAD LABORATORIES A,0.014585
FOX CORP  CLASS B,0.010225
NEWS CORP  CLASS B,0.007258
CONTRA ABIOMED INC,0
S+P500 EMINI FUT JUN24,-0.001419
