Company,Index Weight
transurban group stapled units,0.000346751371560905
orix corp,0.0003460539654154026
komatsu ltd,0.0003448251918449213
targa resources corp,0.0003449197221939187
american water works inc,0.0003439252424021324
universal music group nv,0.00034262904019033067
rheinmetall ag,0.0003420840523276644
take two interactive software inc,0.00033968291595921527
corning inc,0.00033946754479501746
ms&ad insurance group holdings inc,0.0003394786147111118
netapp inc,0.0003388480448494913
sea ads representing ltd class a,0.0003387677963170717
iron mountain inc,0.0003370735504596513
daimler truck holding e ag,0.0003368359195193193
hexagon class b,0.00033578475317597384
mahindra and mahindra ltd,0.0003341742386223099
steel dynamics inc,0.000333268469699711
fairfax financial holdings sub vot,0.00033231523722984766
fujifilm holdings corp,0.0003301832448493444
invitation homes inc,0.0003282387571676747
franco nevada corp,0.0003275532876431948
equity residential reit,0.0003269559000235307
bajaj finance ltd,0.0003259548786341662
teck resources subordinate voting,0.0003259012388428759
dai-ichi life holdings inc,0.00032402866537886954
caixabank sa,0.00032307435055038615
grupo mexico b,0.00032183090833643417
align technology inc,0.0003215931699271452
sba communications reit corp class,0.00032159219104957595
tata motors ltd,0.00032055343926246235
quanta computer inc,0.0003201402807369045
western digital corp,0.00032004306550455425
hewlett packard enterprise,0.00031827741189354656
sandvik,0.0003174066513671408
argenx,0.0003169621538302819
kuwait finance house,0.00031645525599269275
terumo corp,0.000316426441428214
nasdaq inc,0.00031636483165317967
deckers outdoor corp,0.00031603293049803355
garmin ltd,0.0003155288325795503
ball corp,0.0003153425509408449
kia corporation corp,0.00031515322233736253
hindustan unilever ltd,0.00031498419135795366
cgi inc,0.00031381926293726296
weyerhaeuser reit,0.0003136286323335624
hubbell inc,0.00031269712076123827
ptc inc,0.0003110668036973827
ares management corp class a,0.00031084140990258764
eversource energy,0.00030883799109174216
merck,0.00030862393971995913
sse plc,0.00030691241406085126
coterra energy inc,0.00030672004943377035
veolia environ. sa,0.00030672764383856197
evolution,0.00030623366599874063
swiss life holding ag,0.00030594678411117467
international flavors & fragrances,0.0003055910184055737
steris,0.000305489552678833
veralto corp,0.0003049037187389508
corpay inc,0.00030412775881887206
alexandria real estate equities re,0.00030335974106944854
restaurants brands international i,0.00030292295000776837
rwe ag,0.00030263628847757853
saudi arabian oil,0.00030266608345343654
atlas copco class b,0.00030241020825166236
huntington bancshares inc,0.000301836861161592
dte energy,0.0003017589117081725
axon enterprise inc,0.0003015286243435631
saudi arabian mining,0.00030101920778537574
entergy corp,0.0003006381359523878
novozymes b,0.0002990789489202478
cameco corp,0.0002982280113548343
kotak mahindra bank ltd,0.000297060116954537
maruti suzuki india ltd,0.00029633165524582943
vodafone group plc,0.0002956217474236847
pembina pipeline corp,0.000294380897348705
skandinaviska enskilda banken,0.00029437840020370143
chugai pharmaceutical ltd,0.0002933604109896122
entegris inc,0.0002930519374535667
vonovia se,0.00029289795304842303
petrochina ltd h,0.0002921482638177401
molina healthcare inc,0.0002914946574585798
repsol sa,0.00029023316833341116
walmart de mexico v,0.00029022636148894954
aptiv plc,0.0002899940458139397
kweichow moutai ltd a,0.0002896311773407928
carlisle companies inc,0.000289044423728409
ferrovial,0.00028883742726929846
kb financial group inc,0.00028822885091438867
centerpoint energy inc,0.00028753392197435924
standard chartered plc,0.0002875015381316571
dsm firmenich ag,0.0002869614910801544
booz allen hamilton holding corp c,0.00028664179915520243
techtronic industries ltd,0.0002863137604405059
firstenergy corp,0.0002860263920283944
ulta beauty inc,0.0002852493872769145
brown & brown inc,0.00028471527525224515
danske bank,0.0002846386654285169
posco,0.00028442550468909866
saudi basic industries,0.0002836865461979827
omnicom group inc,0.0002834456197133929
hcl technologies ltd,0.0002831370630448431
illumina inc,0.0002828187932685627
societe generale sa,0.0002827910019598905
natwest group plc,0.00028266848581510746
kao corp,0.00028231657109750773
delta electronics inc,0.0002820161648910171
darden restaurants inc,0.0002817646209642955
nokia,0.0002812937702190605
geberit ag,0.0002811803246178541
lpl financial holdings inc,0.00027983841803665317
orange sa,0.0002795618793459833
japan post holdings ltd,0.0002789741684316248
celltrion inc,0.0002789084055080107
bank rakyat indonesia (persero),0.0002785638285376555
synchrony financial,0.0002776336031161792
nidec corp,0.00027700744316293957
first citizens bancshares inc clas,0.0002762741777656862
avery dennison corp,0.00027522028205849663
baxter international inc,0.0002752479311318509
pinterest inc class a,0.00027495319869321616
principal financial group inc,0.00027415473491669855
markel group inc,0.0002737818084330695
expedia group inc,0.0002731986900527409
upm-kymmene,0.0002727703488528401
warner bros. discovery inc series,0.0002723364880841196
hologic inc,0.0002723071351523159
ppl corp,0.00027144486426449664
mitsubishi estate co ltd,0.0002712284796608766
cellnex telecom sa,0.00027092180957867935
mccormick & co non-voting inc,0.00027001050401084207
regions financial corp,0.0002680057432184633
tyler technologies inc,0.00026752327232834453
ameren corp,0.0002672075901918602
nippon steel corp,0.0002672151351057144
nec corp,0.00026691926795441014
genmab,0.0002658419287787495
textron inc,0.00026544209415427087
sampo,0.0002642672551733701
cooper inc,0.0002637589164746267
saudi telecom,0.0002635534315341863
fortis inc,0.00026329795297568915
wsp global inc,0.00026329128611695746
panasonic holdings corp,0.0002619617661766456
thales sa,0.0002617988830146499
state bank of india,0.00026156658216647044
cboe global markets inc,0.00026135557591889223
idex corp,0.00026116979675635675
godaddy inc class a,0.00025986537240243996
national bank of kuwait,0.0002582359647856858
jacobs solutions inc,0.0002576657231496819
united micro electronics corp,0.00025749817454655234
legal and general group plc,0.00025696378418648726
nomura holdings inc,0.00025692051550743584
nrg energy inc,0.0002569931593074096
koninklijke philips nv,0.00025542744939017386
qbe insurance group ltd,0.0002554063875196832
dnb bank,0.0002549048528022893
first solar inc,0.00025483101958375445
clorox,0.00025423038478597596
east japan railway,0.0002524222699957773
tdk corp,0.00025239969200518633
cincinnati financial corp,0.00025209806120475743
sompo holdings inc,0.00025202389566071333
factset research systems inc,0.0002517732742696055
teradyne inc,0.0002513425986108197
waters corp,0.0002512077969543564
marathon oil corp,0.0002506358174093201
seagate technology holdings plc,0.0002506425559481078
draftkings inc class a,0.00024949903890208964
america movil b,0.00024917570080390403
teledyne technologies inc,0.0002485725745873461
ajinomoto inc,0.0002480315748352989
leidos holdings inc,0.0002480038893595196
krw cash,0.00024756500812376717
alnylam pharmaceuticals inc,0.0002475052040521692
lennox international inc,0.0002462654971769413
itc ltd,0.00024596321757486435
dominos pizza inc,0.00024558661137868883
sun pharmaceutical industries ltd,0.00024533495487031015
reliance steel & aluminum,0.00024520383466471136
santos ltd,0.00024487730286725483
astellas pharma inc,0.00024472159241454303
citizens financial group inc,0.00024417709455305835
lasertec corp,0.00024415692096309033
hannover rueck,0.00024388208950525207
celanese corp,0.00024353304873865646
kerry group plc,0.00024343290045248853
kbc groep,0.000243275548209507
williams sonoma inc,0.00024315607943851681
laboratory corporation of america,0.0002431105480828904
firstrand ltd,0.00024293253235101322
delta electronics (thailand) non-v,0.00024254804819969622
skyworks solutions inc,0.0002425806096576013
tyson foods inc class a,0.00024255392177187384
cms energy corp,0.0002425126642245505
olympus corp,0.00024209798272787424
suzuki motor corp,0.00024213197707112125
credit agricole sa,0.0002415347089863865
expeditors international of washin,0.00024150018885305685
naver corp,0.00024104789649356085
loblaw companies ltd,0.00024063817175967267
power corporation of canada,0.0002399835187285393
ntpc ltd,0.00023988390768490232
banco bradesco pref sa,0.0002396498825274728
qatar national bank,0.00023927863546358659
northern trust corp,0.00023901228679331662
ctbc financial holding ltd,0.00023890994403399354
samsung sdi ltd,0.0002381337622227286
gold fields ltd,0.00023795668375104151
swedbank,0.00023755811595140418
emirates telecom,0.0002362861062186444
ucb sa,0.00023617472696632757
